candidate	count	files	forms	first_source
change	14	4	"{""changes"": 12, ""change"": 2}"	docs/en/ch01.md:16
place	14	7	"{""place"": 8, ""places"": 6}"	docs/en/ch01.md:36
list	14	3	"{""list"": 14}"	docs/en/ch06.md:111
project	13	4	"{""projects"": 7, ""project"": 6}"	docs/en/preface.md:9
goal	13	9	"{""goal"": 9, ""goals"": 4}"	docs/en/preface.md:27
it's	13	8	"{""It's"": 8, ""it's"": 5}"	docs/en/ch01.md:2
functionality	13	8	"{""functionality"": 13}"	docs/en/ch01.md:18
exception	13	5	"{""exceptions"": 8, ""exception"": 4, ""Exception"": 1}"	docs/en/ch01.md:36
good design	13	5	"{""good design"": 7, ""better designs"": 2, ""Good design"": 2, ""better design"": 1, ""good designs"": 1}"	docs/en/ch03.md:3
specialization	13	1	"{""specialization"": 11, ""Specialization"": 2}"	docs/en/ch06.md:3
cursor	13	1	"{""cursor"": 11, ""Cursor"": 2}"	docs/en/ch06.md:25
structure	13	6	"{""structures"": 1, ""structure"": 11, ""Structure"": 1}"	docs/en/ch09.md:39
performance	12	4	"{""performance"": 12}"	docs/en/preface.md:7
language	12	6	"{""languages"": 4, ""language"": 8}"	docs/en/preface.md:13
simpler	12	8	"{""simpler"": 12}"	docs/en/ch01.md:8
special case	12	4	"{""special cases"": 8, ""Special cases"": 2, ""special case"": 2}"	docs/en/ch01.md:10
need	12	5	"{""need"": 5, ""needs"": 7}"	docs/en/ch04.md:3
order	12	7	"{""order"": 12}"	docs/en/ch05.md:27
mechanism	12	1	"{""mechanism"": 12}"	docs/en/ch06.md:11
situation	12	7	"{""situations"": 11, ""situation"": 1}"	docs/en/ch06.md:95
software development	11	9	"{""software development"": 11}"	docs/en/preface.md:3
skill	11	6	"{""skills"": 6, ""skill"": 5}"	docs/en/preface.md:7
one	11	7	"{""ones"": 9, ""one"": 2}"	docs/en/preface.md:9
application	11	4	"{""application"": 8, ""applications"": 3}"	docs/en/ch05.md:27
block	11	5	"{""block"": 6, ""blocks"": 4, ""Blocks"": 1}"	docs/en/ch06.md:105
issue	10	7	"{""issues"": 7, ""issue"": 3}"	docs/en/README.md:9
program	10	2	"{""programs"": 3, ""program"": 7}"	docs/en/preface.md:3
programmer	10	3	"{""programmers"": 8, ""Programmers"": 1, ""programmer"": 1}"	docs/en/preface.md:5
mistake	10	3	"{""mistakes"": 6, ""mistake"": 4}"	docs/en/preface.md:11
best way	10	7	"{""best way"": 8, ""best ways"": 2}"	docs/en/preface.md:19
bug	10	9	"{""bugs"": 10}"	docs/en/preface.md:23
investment	10	6	"{""investment"": 7, ""investments"": 3}"	docs/en/ch03.md:17
redo	10	1	"{""redo"": 10}"	docs/en/ch06.md:21
subdivision	10	1	"{""subdivision"": 6, ""Subdivision"": 4}"	docs/en/ch09.md:5
course	9	6	"{""course"": 9}"	docs/en/preface.md:9
detail	9	5	"{""details"": 7, ""detail"": 2}"	docs/en/ch01.md:12
element	9	6	"{""element"": 5, ""elements"": 4}"	docs/en/ch01.md:24
rule	9	4	"{""rule"": 7, ""rules"": 2}"	docs/en/ch01.md:36
lot	9	6	"{""lot"": 7, ""lots"": 2}"	docs/en/ch02.md:5
choice	9	4	"{""choices"": 4, ""choice"": 5}"	docs/en/ch02.md:5
part	9	4	"{""parts"": 3, ""part"": 5, ""Part"": 1}"	docs/en/ch04.md:23
key	9	3	"{""key"": 9}"	docs/en/ch06.md:25
insertion	9	2	"{""insertion"": 7, ""insertions"": 2}"	docs/en/ch06.md:109
history class	9	1	"{""History class"": 9}"	docs/en/ch06.md:133
point	8	7	"{""point"": 8}"	docs/en/preface.md:13
word	8	5	"{""word"": 2, ""words"": 6}"	docs/en/preface.md:17
future	8	5	"{""future"": 8}"	docs/en/preface.md:25
term	8	6	"{""terms"": 6, ""term"": 2}"	docs/en/preface.md:29
phase	8	2	"{""phases"": 2, ""phase"": 6}"	docs/en/ch01.md:14
something	8	5	"{""something"": 8}"	docs/en/ch03.md:15
undo	8	1	"{""undo"": 8}"	docs/en/ch06.md:21
object	8	3	"{""object"": 4, ""objects"": 4}"	docs/en/ch06.md:35
kind	8	2	"{""kinds"": 3, ""kind"": 5}"	docs/en/ch06.md:105
computer	7	3	"{""computers"": 1, ""computer"": 3, ""Computer"": 3}"	docs/en/preface.md:3
programming	7	4	"{""programming"": 7}"	docs/en/preface.md:3
quality	7	4	"{""quality"": 7}"	docs/en/preface.md:7
design skill	7	5	"{""design skill"": 3, ""design skills"": 4}"	docs/en/preface.md:7
question	7	5	"{""questions"": 4, ""question"": 3}"	docs/en/preface.md:9
