english	preferred_zh	en_count	en_files	en_forms	zh_count	zh_files	zh_variants
centrality	核心地位	1	1	"{""centrality"": 1}"	1	1	"{""中心化"": 1}"
by a factor of 2	达到原来的两倍	1	1	"{""by a factor of 2"": 1}"	1	1	"{""提高两倍"": 1}"
single instance	只出现一处	1	1	"{""single instance"": 1}"	1	1	"{""单例代码"": 1}"
allocation	分配／分配的内存区域	14	3	"{""allocation"": 12, ""allocations"": 2}"	30	5	"{""分配"": 29, ""分配器"": 1}"
internal representation	内部表示	2	1	"{""internal representation"": 2}"	2	1	"{""内部实现"": 2}"
partial information hiding	部分信息隐藏	2	1	"{""partial information hiding"": 2}"	2	1	"{""隐藏部分信息"": 2}"
classitis	多类症	5	1	"{""classitis"": 4, ""Classitis"": 1}"	5	1	"{""多类症"": 5}"
secondary exceptions	后续异常	1	1	"{""Secondary exceptions"": 1}"	1	1	"{""次要异常"": 1}"
instrumentation	诊断插桩／诊断跟踪代码	1	1	"{""instrumentation"": 1}"	1	1	"{""诊断信息"": 1}"
factoring	拆分方式	1	1	"{""factoring out"": 1}"	52	13	"{""提取"": 23, ""拆分"": 29}"
common name	统一约定的名称	3	1	"{""common name"": 3}"	5	2	"{""通用名称"": 5}"
interface inheritance	接口继承	2	1	"{""interface inheritance"": 1, ""Interface inheritance"": 1}"	2	1	"{""接口继承"": 2}"
implementation inheritance	实现继承	8	1	"{""implementation inheritance"": 8}"	8	1	"{""实现继承"": 8}"
